x,y,dy/dx,d2y/dx2
0.000656379,0.747325,445.902,-2.21994e+06
0.000665892,0.751467,424.849,-2.20538e+06
0.000675417,0.755414,403.923,-2.18819e+06
0.000684956,0.759167,383.144,-2.16812e+06
0.000694509,0.762729,362.539,-2.1449e+06
0.000704082,0.766102,342.132,-2.11828e+06
0.000713675,0.769287,321.954,-2.08801e+06
0.000723292,0.772287,302.035,-2.05385e+06
0.000732936,0.775105,282.408,-2.0156e+06
0.000742611,0.777744,263.109,-1.97305e+06
0.000752321,0.780206,244.175,-1.92606e+06
0.00076207,0.782496,225.645,-1.87449e+06
0.000771864,0.784617,207.56,-1.81828e+06
0.000781705,0.786572,189.961,-1.75737e+06
0.000791601,0.788367,172.891,-1.6918e+06
0.000801557,0.790006,156.394,-1.62165e+06
0.000811578,0.791493,140.514,-1.54703e+06
0.000821671,0.792834,125.294,-1.46817e+06
0.000831844,0.794034,110.777,-1.38532e+06
0.000842103,0.795099,97.0069,-1.2988e+06
0.000852456,0.796035,84.0231,-1.20902e+06
0.000862912,0.796849,71.8649,-1.11643e+06
0.000873478,0.797548,60.5687,-1.02153e+06
0.000884164,0.798139,50.1684,-924878
0.00089498,0.798629,40.6941,-827071
0.000905936,0.799027,32.1725,-728736
0.000917042,0.799342,24.6261,-630524
0.00092831,0.799581,18.0729,-533091
0.000939751,0.799755,12.5261,-437094
0.000951377,0.799873,7.99415,-343176
0.000963202,0.799946,4.48014,-251953
0.000975237,0.799984,1.98211,-164003
0.000987499,0.799998,0.492842,-79860.4
0.001,0.8,-44.4444,-7901.23
0.00111251,0.794951,-45.3055,-7393.69
0.00122286,0.789907,-46.0909,-6830.43
0.00133119,0.784875,-46.798,-6214.47
0.00143761,0.779861,-47.4245,-5549.59
0.00154224,0.77487,-47.9685,-4840.25
0.00164521,0.769906,-48.4288,-4091.52
0.00174662,0.764975,-48.8044,-3308.98
0.00184657,0.760082,-49.0949,-2498.65
0.00194518,0.75523,-49.3005,-1666.84
0.00204252,0.750425,-49.4218,-820.054
0.0021387,0.745669,-49.4596,35.1317
0.0022338,0.740967,-49.4156,892.187
0.00232789,0.736322,-49.2916,1744.74
0.00242107,0.731738,-49.0897,2586.67
0.0025134,0.727218,-48.8127,3412.22
0.00260496,0.722764,-48.4633,4216.04
0.0026958,0.71838,-48.0449,4993.29
0.00278599,0.714068,-47.5607,5739.66
0.00287559,0.709831,-47.0143,6451.4
0.00296465,0.70567,-46.4094,7125.37
0.00305323,0.701588,-45.7499,7758.99
0.00314137,0.697587,-45.0397,8350.28
0.00322911,0.693668,-44.2827,8897.82
0.0033165,0.689832,-43.4828,9400.71
0.00340358,0.686082,-42.644,9858.55
0.00349038,0.682418,-41.7701,10271.4
0.00357693,0.678842,-40.8648,10639.7
0.00366327,0.675354,-39.9319,10964.2
0.00374941,0.671955,-38.9749,11246.2
0.0038354,0.668646,-37.9972,11486.8
0.00392124,0.665426,-37.0022,11687.8
0.00400697,0.662297,-35.9931,11850.8
0.00409259,0.659259,-34.9727,11977.7
0.00417813,0.656312,-33.9439,12070.5
0.0042636,0.653455,-32.9095,12131.1
0.00434901,0.650688,-31.8719,12161.6
0.00443437,0.648012,-30.8334,12164
0.0045197,0.645425,-29.7963,12140.1
0.00460499,0.642928,-28.7627,12092
0.00469027,0.640519,-27.7344,12021.5
0.00477553,0.638198,-26.7132,11930.4
0.00486077,0.635964,-25.7008,11820.3
0.00494601,0.633816,-24.6985,11692.9
0.00503125,0.631753,-23.7079,11549.6
0.00511648,0.629774,-22.7302,11391.8
0.0052017,0.627878,-21.7665,11220.9
0.00528693,0.626064,-20.8178,11037.9
0.00537216,0.624329,-19.8853,10844.1
0.00545739,0.622674,-18.9697,10640.3
0.00554261,0.621095,-18.0719,10427.5
0.00562784,0.619593,-17.1925,10206.5
0.00571307,0.618164,-16.3323,9978.02
0.0057983,0.616808,-15.4919,9742.7
0.00588352,0.615523,-14.6718,9501.15
0.00596875,0.614307,-13.8725,9253.89
0.00605399,0.613158,-13.0945,9001.38
0.00613923,0.612074,-12.3382,8744.06
0.00622447,0.611054,-11.6039,8482.29
0.00630973,0.610095,-10.892,8216.45
0.00639501,0.609195,-10.2028,7946.86
0.0064803,0.608354,-9.53661,7673.83
0.00656563,0.607568,-8.89359,7397.67
0.00665099,0.606835,-8.274,7118.68
0.0067364,0.606154,-7.678,6837.19
0.00682187,0.605522,-7.10575,6553.51
0.00690741,0.604938,-6.55738,6268.01
0.00699303,0.604399,-6.03297,5981.07
0.00707876,0.603904,-5.53258,5693.1
0.0071646,0.60345,-5.05625,5404.56
0.00725059,0.603034,-4.60395,5115.96
0.00733673,0.602656,-4.17563,4827.86
0.00742307,0.602314,-3.77121,4540.88
0.00750962,0.602004,-3.39055,4255.67
0.00759642,0.601725,-3.03346,3972.96
0.0076835,0.601476,-2.69971,3693.53
0.00777089,0.601254,-2.389,3418.21
0.00785863,0.601057,-2.10098,3147.86
0.00794677,0.600883,-1.83524,2883.4
0.00803535,0.600732,-1.59132,2625.76
0.00812441,0.6006,-1.36866,2375.91
0.00821401,0.600487,-1.16666,2134.79
0.0083042,0.60039,-0.984646,1903.37
0.00839504,0.600308,-0.821866,1682.57
0.0084866,0.60024,-0.677506,1473.26
0.00857893,0.600183,-0.550683,1276.27
0.00867211,0.600137,-0.44045,1092.34
0.0087662,0.6001,-0.345795,922.096
0.0088613,0.600071,-0.265652,766.086
0.00895748,0.600049,-0.198902,624.71
0.00905482,0.600032,-0.14438,498.235
0.00915343,0.60002,-0.100884,386.778
0.00925338,0.600012,-0.0671799,290.305
0.00935479,0.600007,-0.042016,208.624
0.00945776,0.600003,-0.024127,141.391
0.00956239,0.600001,-0.0122467,88.1101
0.00966881,0.6,-0.00511758,48.1473
0.00977714,0.6,-0.0015006,20.74
0.00988749,0.6,-0.000185466,5.01375
0.01,0.6,0,0
0.0101125,0.6,3.08026e-05,0.554586
0.0102229,0.6,0.000123882,1.13891
0.0103312,0.6,0.000280009,1.74967
0.0104376,0.6,0.000499634,2.38317
0.0105422,0.6,0.000782883,3.03538
0.0106452,0.6,0.00112955,3.70202
0.0107466,0.6,0.00153913,4.37864
0.0108466,0.600001,0.00201078,5.06067
0.0109452,0.600001,0.00254338,5.74355
0.0110425,0.600001,0.00313552,6.42277
0.0111387,0.600001,0.00378555,7.09396
0.0112338,0.600002,0.00449155,7.753
0.0113279,0.600002,0.00525144,8.39601
0.0114211,0.600003,0.00606293,9.01947
0.0115134,0.600003,0.00692359,9.62025
0.011605,0.600004,0.00783086,10.1956
0.0116958,0.600005,0.00878211,10.7433
0.011786,0.600006,0.00977463,11.2614
0.0118756,0.600007,0.0108057,11.7486
0.0119647,0.600008,0.0118725,12.204
0.0120532,0.600009,0.0129725,12.6269
0.0121414,0.60001,0.0141028,13.0173
0.0122291,0.600011,0.0152609,13.3754
0.0123165,0.600013,0.0164443,13.7017
0.0124036,0.600014,0.0176505,13.9972
0.0124904,0.600016,0.0188772,14.2629
0.0125769,0.600017,0.0201221,14.5001
0.0126633,0.600019,0.0213833,14.7103
0.0127494,0.600021,0.0226587,14.8951
0.0128354,0.600023,0.0239465,15.0564
0.0129212,0.600025,0.0252452,15.1957
0.013007,0.600027,0.0265531,15.3151
0.0130926,0.60003,0.0278689,15.4163
0.0131781,0.600032,0.0291913,15.501
0.0132636,0.600035,0.0305192,15.5712
0.013349,0.600037,0.0318516,15.6284
0.0134344,0.60004,0.0331878,15.6744
0.0135197,0.600043,0.0345268,15.7106
0.013605,0.600046,0.0358681,15.7386
0.0136903,0.600049,0.0372112,15.7596
0.0137755,0.600052,0.0385555,15.775
0.0138608,0.600056,0.0399008,15.7858
0.013946,0.600059,0.0412467,15.7931
0.0140312,0.600063,0.042593,15.7977
0.0141165,0.600066,0.0439395,15.8003
0.0142017,0.60007,0.0452862,15.8017
0.0142869,0.600074,0.046633,15.8023
0.0143722,0.600078,0.0479798,15.8024
0.0144574,0.600082,0.0493266,15.8025
0.0145426,0.600087,0.0506734,15.8025
0.0146278,0.600091,0.0520202,15.8024
0.0147131,0.600095,0.053367,15.8023
0.0147983,0.6001,0.0547138,15.8017
0.0148835,0.600105,0.0560605,15.8003
0.0149688,0.60011,0.057407,15.7977
0.015054,0.600114,0.0587533,15.7931
0.0151392,0.60012,0.0600992,15.7858
0.0152245,0.600125,0.0614445,15.775
0.0153097,0.60013,0.0627888,15.7596
0.015395,0.600135,0.0641319,15.7386
0.0154803,0.600141,0.0654732,15.7106
0.0155656,0.600147,0.0668122,15.6744
0.015651,0.600152,0.0681484,15.6284
0.0157364,0.600158,0.0694808,15.5712
0.0158219,0.600164,0.0708087,15.501
0.0159074,0.60017,0.0721311,15.4163
0.015993,0.600177,0.0734469,15.3151
0.0160788,0.600183,0.0747548,15.1957
0.0161646,0.600189,0.0760535,15.0564
0.0162506,0.600196,0.0773413,14.8951
0.0163367,0.600203,0.0786167,14.7103
0.0164231,0.60021,0.0798779,14.5001
0.0165096,0.600217,0.0811228,14.2629
0.0165964,0.600224,0.0823495,13.9972
0.0166835,0.600231,0.0835557,13.7017
0.0167709,0.600238,0.0847391,13.3754
0.0168586,0.600246,0.0858972,13.0173
0.0169468,0.600253,0.0870275,12.6269
0.0170353,0.600261,0.0881275,12.204
0.0171244,0.600269,0.0891943,11.7486
0.017214,0.600277,0.0902254,11.2614
0.0173042,0.600285,0.0912179,10.7433
0.017395,0.600294,0.0921691,10.1956
0.0174866,0.600302,0.0930764,9.62025
0.0175789,0.600311,0.0939371,9.01947
0.0176721,0.600319,0.0947486,8.39601
0.0177662,0.600328,0.0955084,7.753
0.0178613,0.600338,0.0962145,7.09396
0.0179575,0.600347,0.0968645,6.42277
0.0180548,0.600356,0.0974566,5.74355
0.0181534,0.600366,0.0979892,5.06067
0.0182534,0.600376,0.0984609,4.37864
0.0183548,0.600386,0.0988704,3.70202
0.0184578,0.600396,0.0992171,3.03538
0.0185624,0.600406,0.0995004,2.38317
0.0186688,0.600417,0.09972,1.74967
0.0187771,0.600428,0.0998761,1.13891
0.0188875,0.600439,0.0999692,0.554586
0.019,0.60045,0.1,-7.01661e-12
0.0192111,0.600471,0.1,0
0.0194222,0.600492,0.1,0
0.0196333,0.600513,0.1,0
0.0198444,0.600534,0.1,0
0.0200556,0.600556,0.1,0
0.0202667,0.600577,0.1,0
0.0204778,0.600598,0.1,0
0.0206889,0.600619,0.1,0
0.0209,0.60064,0.1,0
