frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
14, 75, 0.102395, 0.0902394, 0.0967787, 0.0905314, 0.04535, 0.0670632, 0.0417726, 0.0469448, 0.0461734, 0.0177486, 0.0232919, 0.032773, 0.0137892, 0.0188875, 0.00507471, 0.00453677, 0.0130693, 0.0375122, 0.0244663, 0.0411467, 0.0306515, 0.0649084, 0.0515937, 0.0796067, 0.106687, 0.0831439, 0.10908, 0.0566155, 0.0458232, 0.141228, 0.141582, 0.188991, 0.065862, 0.0380232, 0.093004, 0.0870798, 0.126603
15, 71, 0.102543, 0.0901637, 0.0972116, 0.0909678, 0.0469002, 0.0682233, 0.0439628, 0.0488035, 0.0481579, 0.0184138, 0.0220047, 0.0342592, 0.0112407, 0.0148023, 0.00799645, 0.00736614, 0.0127587, 0.0373918, 0.0233641, 0.0419628, 0.0321799, 0.065068, 0.0518304, 0.0802087, 0.107359, 0.0832276, 0.109051, 0.0593536, 0.0483394, 0.146634, 0.146301, 0.195472, 0.0654158, 0.0373092, 0.0942807, 0.088486, 0.128131
16, 66, 0.102112, 0.0895444, 0.0972428, 0.0909221, 0.048469, 0.0690688, 0.0460463, 0.0506443, 0.0499887, 0.0190102, 0.0195559, 0.0363547, 0.0108201, 0.0116534, 0.0129161, 0.00989287, 0.0127048, 0.0373068, 0.0221282, 0.0426495, 0.0337861, 0.0649764, 0.0517554, 0.0807521, 0.10804, 0.0832265, 0.109021, 0.0624328, 0.0511382, 0.151034, 0.14991, 0.200683, 0.0643395, 0.0362536, 0.09558, 0.0900507, 0.129774
17, 61, 0.101118, 0.0884322, 0.0969897, 0.0904483, 0.0501181, 0.0695745, 0.0479929, 0.0524692, 0.0517076, 0.0195873, 0.0178266, 0.0374185, 0.0111956, 0.00996573, 0.0152771, 0.0111743, 0.0129813, 0.0373443, 0.0207347, 0.043222, 0.0354583, 0.0647201, 0.0514014, 0.081298, 0.108807, 0.0832003, 0.109086, 0.0658133, 0.0541695, 0.154192, 0.152177, 0.204358, 0.0626037, 0.0347852, 0.0968086, 0.0916802, 0.131432
18, 55, 0.0995216, 0.0868605, 0.0964618, 0.0895586, 0.0517943, 0.069634, 0.049597, 0.0541301, 0.0531047, 0.0201091, 0.017396, 0.03687, 0.0111048, 0.00945454, 0.0147201, 0.0110945, 0.0135691, 0.0375158, 0.0192519, 0.0437303, 0.0371999, 0.0643592, 0.0508425, 0.0818625, 0.109653, 0.0831762, 0.109263, 0.0695007, 0.0574378, 0.155957, 0.152941, 0.206311, 0.0601719, 0.0328797, 0.0979319, 0.0933474, 0.133041
19, 56, 0.0972672, 0.0848761, 0.0956125, 0.0882643, 0.0533885, 0.0691249, 0.0505081, 0.0553814, 0.0537434, 0.0204585, 0.0178439, 0.0350852, 0.0105097, 0.00977656, 0.0119196, 0.00990567, 0.0144025, 0.0377998, 0.0178235, 0.0442758, 0.0390156, 0.0639522, 0.0501833, 0.0824377, 0.110547, 0.0831742, 0.109543, 0.0735184, 0.0609742, 0.156239, 0.152091, 0.206407, 0.0569832, 0.0305424, 0.0989487, 0.0950703, 0.134551
20, 63, 0.0943853, 0.0825862, 0.0944258, 0.0866282, 0.0547797, 0.0679687, 0.0502767, 0.0559353, 0.053037, 0.0204589, 0.0183492, 0.0329052, 0.0100859, 0.0107966, 0.00804162, 0.00797201, 0.0154052, 0.0381768, 0.0166286, 0.0450014, 0.040891, 0.0635796, 0.0495492, 0.0830122, 0.111475, 0.0832169, 0.109921, 0.0778785, 0.0648066, 0.154981, 0.14955, 0.204527, 0.0529495, 0.0277922, 0.0999093, 0.0969137, 0.135945
21, 68, 0.091079, 0.0801768, 0.0929893, 0.0847916, 0.0558482, 0.0661862, 0.048436, 0.0555291, 0.0503761, 0.0199078, 0.0181744, 0.031099, 0.0104424, 0.0123146, 0.00456429, 0.00569983, 0.0165028, 0.0386358, 0.0158237, 0.0460219, 0.0427934, 0.0633303, 0.0490596, 0.0835809, 0.112443, 0.0833214, 0.110398, 0.0825649, 0.0689382, 0.152157, 0.145276, 0.200575, 0.0479893, 0.0246572, 0.100942, 0.0990002, 0.137274
22, 71, 0.087693, 0.0778849, 0.0915151, 0.0829722, 0.0564378, 0.0639275, 0.0446391, 0.0539929, 0.0453099, 0.0186062, 0.0169787, 0.0300952, 0.0114556, 0.0139132, 0.00338242, 0.00361261, 0.0176151, 0.0391483, 0.0154794, 0.0473445, 0.0446951, 0.0632484, 0.0487859, 0.0841347, 0.113449, 0.0834831, 0.110959, 0.0875354, 0.0733447, 0.147804, 0.139296, 0.194511, 0.0420916, 0.0211887, 0.102266, 0.101519, 0.138704
23, 72, 0.0845598, 0.0759318, 0.0902953, 0.0814296, 0.0562721, 0.0614543, 0.0388696, 0.0512978, 0.0378182, 0.0164086, 0.0149972, 0.0299333, 0.01244, 0.0151104, 0.0038826, 0.00223828, 0.0186558, 0.0396628, 0.0155388, 0.0488713, 0.0465856, 0.0633163, 0.0487356, 0.0846571, 0.11446, 0.0836754, 0.111562, 0.0927232, 0.0779747, 0.142057, 0.131759, 0.186408, 0.0353584, 0.0174663, 0.104195, 0.104726, 0.14055
24, 69, 0.0818476, 0.0744367, 0.0895935, 0.0803837, 0.0549342, 0.0590691, 0.0316668, 0.0475686, 0.0285979, 0.0133372, 0.0129288, 0.0302954, 0.0128509, 0.0156658, 0.00371654, 0.00157141, 0.0195621, 0.0401365, 0.015843, 0.0504722, 0.0484637, 0.0634948, 0.0488765, 0.0851411, 0.11546, 0.0838765, 0.11217, 0.0980133, 0.08273, 0.135177, 0.122975, 0.176495, 0.0279912, 0.0135739, 0.107114, 0.10894, 0.143287
25, 64, 0.0795436, 0.0733748, 0.0895192, 0.0799142, 0.052054, 0.0570172, 0.02415, 0.0430701, 0.0190206, 0.00970502, 0.011361, 0.0307473, 0.0126168, 0.0156798, 0.00263895, 0.00116486, 0.0203108, 0.0405462, 0.0162165, 0.0520362, 0.050342, 0.0637403, 0.0491566, 0.0856084, 0.116463, 0.0840878, 0.112765, 0.103231, 0.0874595, 0.127538, 0.113418, 0.165167, 0.0202652, 0.0095788, 0.111429, 0.114506, 0.147488
26, 60, 0.0775909, 0.072639, 0.089985, 0.079936, 0.0476116, 0.0554175, 0.017673, 0.0381708, 0.0105067, 0.0060595, 0.0104495, 0.031029, 0.0119403, 0.0153655, 0.00122132, 0.000948723, 0.0209057, 0.0408774, 0.0165264, 0.053507, 0.0522567, 0.0640087, 0.0495186, 0.0861103, 0.117485, 0.0843343, 0.113348, 0.108211, 0.0920127, 0.11956, 0.103641, 0.152922, 0.0126082, 0.00555252, 0.117452, 0.12169, 0.153662
27, 58, 0.0760363, 0.072148, 0.0907669, 0.0802643, 0.0420028, 0.0542672, 0.0132902, 0.033247, 0.0038373, 0.00291055, 0.0101768, 0.0310898, 0.0110163, 0.0148556, 0.000971818, 0.00104487, 0.0213679, 0.0411363, 0.0166945, 0.0548986, 0.054235, 0.0642834, 0.0499178, 0.0867167, 0.118542, 0.0846615, 0.11394, 0.112895, 0.0963118, 0.111646, 0.0941847, 0.140277, 0.00629811, 0.00161237, 0.125266, 0.130545, 0.162049
28, 57, 0.0750189, 0.0718841, 0.0915972, 0.0806989, 0.0357815, 0.0535007, 0.0112557, 0.0285577, 0.00189696, 0.000759385, 0.0105449, 0.0309966, 0.00995392, 0.014209, 0.00237528, 0.0013699, 0.0217307, 0.0413525, 0.0166899, 0.0562423, 0.0562446, 0.0645772, 0.0503228, 0.087487, 0.119664, 0.0851102, 0.114589, 0.117354, 0.100371, 0.104206, 0.085572, 0.127756, 0.00683357, 0.00222467, 0.134723, 0.140898, 0.172574
29, 57, 0.074629, 0.0718487, 0.0922721, 0.0810948, 0.0294233, 0.0530346, 0.0107944, 0.0242209, 0.00555044, 0.00169591, 0.0115493, 0.0308773, 0.00882694, 0.0134768, 0.00401592, 0.0018368, 0.0220275, 0.0415582, 0.0165143, 0.0575232, 0.0581879, 0.0648996, 0.0507048, 0.0884362, 0.120866, 0.0856806, 0.115331, 0.121735, 0.104269, 0.0977068, 0.0783526, 0.115936, 0.012671, 0.00569899, 0.145542, 0.152459, 0.184955
30, 58, 0.0748232, 0.0720186, 0.0927295, 0.0813968, 0.023287, 0.0527663, 0.0108137, 0.0202875, 0.00867683, 0.00298461, 0.0131417, 0.030899, 0.0077486, 0.0127374, 0.00589475, 0.00244886, 0.0222804, 0.0417715, 0.0161867, 0.058675, 0.0599394, 0.0652391, 0.0510317, 0.0895161, 0.122113, 0.0863203, 0.116151, 0.126184, 0.108098, 0.0926389, 0.0730712, 0.105442, 0.0188654, 0.008848, 0.1574, 0.164915, 0.198817
31, 60, 0.0754867, 0.0723538, 0.0930157, 0.0816134, 0.0176603, 0.0525595, 0.0106896, 0.0167921, 0.0112909, 0.00391577, 0.0152324, 0.031246, 0.00694664, 0.0121081, 0.00811263, 0.00323591, 0.0224939, 0.0419949, 0.0157307, 0.0596191, 0.0613893, 0.0655748, 0.0512764, 0.0906301, 0.123332, 0.0869443, 0.116995, 0.130799, 0.111928, 0.0893959, 0.070129, 0.096864, 0.0246816, 0.0116792, 0.169982, 0.177987, 0.213765
32, 62, 0.0765376, 0.0728297, 0.0931914, 0.081765, 0.0128034, 0.0522663, 0.0102608, 0.0137487, 0.0133982, 0.00449321, 0.0177006, 0.0320761, 0.00678133, 0.0117425, 0.010732, 0.00422194, 0.022659, 0.0422226, 0.0151641, 0.0603071, 0.0624818, 0.065894, 0.0514278, 0.0916717, 0.124449, 0.0874702, 0.117796, 0.135599, 0.115781, 0.088133, 0.0696165, 0.090639, 0.0300542, 0.0142626, 0.183001, 0.191435, 0.229418
33, 65, 0.077949, 0.0734481, 0.0932917, 0.0818664, 0.00902496, 0.0517822, 0.00958276, 0.011144, 0.0149114, 0.00474193, 0.0204068, 0.033469, 0.00754937, 0.0118074, 0.0137585, 0.00541299, 0.0227672, 0.0424512, 0.0144983, 0.0607466, 0.0632385, 0.0662025, 0.0514944, 0.0925586, 0.125401, 0.0878457, 0.118486, 0.14052, 0.119627, 0.0887054, 0.0712519, 0.0869174, 0.0350466, 0.0167004, 0.1962, 0.205058, 0.245426
34, 68, 0.0796939, 0.0742194, 0.0933552, 0.0819444, 0.00679536, 0.0510999, 0.00878046, 0.00895592, 0.015772, 0.00475149, 0.0232104, 0.0354019, 0.00921127, 0.0124286, 0.0171401, 0.00678952, 0.0228209, 0.0426859, 0.0137515, 0.0609939, 0.0637349, 0.0665211, 0.051501, 0.0932421, 0.126126, 0.088059, 0.119016, 0.14543, 0.123387, 0.0907255, 0.0744846, 0.0855036, 0.0397498, 0.0190921, 0.209353, 0.218677, 0.261477
35, 73, 0.0817007, 0.0751444, 0.0934421, 0.0820488, 0.00642701, 0.0503196, 0.00798969, 0.00718668, 0.0160306, 0.0046571, 0.0259924, 0.0377646, 0.011495, 0.0136264, 0.0207718, 0.00830341, 0.0228364, 0.0429386, 0.012966, 0.0611255, 0.0640439, 0.066877, 0.0514837, 0.0937133, 0.126586, 0.0881336, 0.119375, 0.150165, 0.126952, 0.0936987, 0.0786852, 0.0859222, 0.0442453, 0.0214956, 0.222266, 0.232121, 0.277295
36, 77, 0.0838716, 0.0762155, 0.0936066, 0.0822343, 0.007265, 0.0495962, 0.00733709, 0.00588932, 0.0158379, 0.00456719, 0.0286677, 0.0403938, 0.014125, 0.0153018, 0.024513, 0.00988269, 0.0228406, 0.0432238, 0.0122153, 0.061213, 0.0642042, 0.0672926, 0.0514855, 0.0940122, 0.126803, 0.0881198, 0.119593, 0.154564, 0.130206, 0.0971478, 0.0832925, 0.0875747, 0.0485866, 0.0239019, 0.234772, 0.245225, 0.292643
37, 81, 0.0861175, 0.0774194, 0.0938714, 0.0825332, 0.00838786, 0.0490524, 0.00692754, 0.00518129, 0.015383, 0.00452652, 0.0311815, 0.0431083, 0.0168893, 0.0172879, 0.0282148, 0.0114447, 0.0228565, 0.0435497, 0.011587, 0.0613003, 0.0642268, 0.0677807, 0.0515482, 0.0942131, 0.126858, 0.0880809, 0.119739, 0.158481, 0.13304, 0.100682, 0.087878, 0.0898915, 0.0527908, 0.0262379, 0.246722, 0.257822, 0.307313
38, 85, 0.0883594, 0.078727, 0.0942417, 0.0829459, 0.00942213, 0.0487162, 0.006817, 0.00519504, 0.0148265, 0.00453571, 0.0334969, 0.0457376, 0.0196328, 0.0194128, 0.0317443, 0.0129117, 0.0228862, 0.0439104, 0.011143, 0.0613933, 0.0641038, 0.06834, 0.0517029, 0.0943849, 0.126869, 0.0880769, 0.119895, 0.161798, 0.135359, 0.104017, 0.092153, 0.0924219, 0.0568372, 0.0283965, 0.257978, 0.269745, 0.32112
39, 92, 0.090514, 0.0800884, 0.0947205, 0.0834518, 0.0104119, 0.048508, 0.00697083, 0.00593491, 0.014239, 0.00457069, 0.0355934, 0.0481511, 0.0222459, 0.0215365, 0.0350013, 0.0142225, 0.0229113, 0.044289, 0.0109004, 0.0614823, 0.0638197, 0.0689634, 0.0519668, 0.0945638, 0.126942, 0.0881492, 0.120133, 0.16442, 0.137091, 0.10697, 0.0959446, 0.0948578, 0.0606705, 0.0302758, 0.268404, 0.280825, 0.333892
40, 104, 0.0925044, 0.0814519, 0.0952892, 0.0840178, 0.0116325, 0.04828, 0.00721544, 0.0072336, 0.0135206, 0.00456281, 0.0374662, 0.0502718, 0.0246531, 0.0235576, 0.0379209, 0.0153374, 0.0229016, 0.0446621, 0.0108483, 0.0615675, 0.0633681, 0.0696425, 0.0523494, 0.0947483, 0.1271, 0.0883084, 0.120466, 0.166288, 0.138202, 0.109435, 0.0991613, 0.0970137, 0.0642099, 0.031804, 0.27787, 0.290902, 0.345475
41, 119, 0.094295, 0.0827913, 0.0958706, 0.0846004, 0.0134119, 0.0479277, 0.0071929, 0.0088225, 0.0122952, 0.00434658, 0.0391101, 0.0520619, 0.0267986, 0.0253977, 0.0404604, 0.0162339, 0.0228155, 0.0449882, 0.0109598, 0.0616481, 0.0627643, 0.0703463, 0.0528461, 0.0949008, 0.127254, 0.0885214, 0.120824, 0.167391, 0.138702, 0.11136, 0.10176, 0.0987914, 0.0673671, 0.0329496, 0.286267, 0.299832, 0.355737
42, 135, 0.0958863, 0.0841014, 0.0963359, 0.0851477, 0.0157102, 0.0475988, 0.00644613, 0.0102922, 0.00995094, 0.00363983, 0.0404992, 0.0534933, 0.0286363, 0.0269858, 0.0425846, 0.0169023, 0.0225974, 0.0451908, 0.0111884, 0.0617027, 0.0620356, 0.0709929, 0.053422, 0.0949593, 0.127242, 0.0887163, 0.12107, 0.167755, 0.138639, 0.112721, 0.103713, 0.100132, 0.0700702, 0.0337275, 0.293515, 0.307505, 0.364589
43, 145, 0.0972621, 0.0853534, 0.096577, 0.0856093, 0.0177292, 0.0478076, 0.00502527, 0.011119, 0.00616014, 0.0022199, 0.0416167, 0.0545601, 0.0301581, 0.0282851, 0.044295, 0.0173586, 0.022204, 0.0451874, 0.0114978, 0.0616865, 0.0611923, 0.0714673, 0.0540032, 0.0948579, 0.126925, 0.0888145, 0.121078, 0.167418, 0.138054, 0.113463, 0.104954, 0.100945, 0.0722816, 0.0341968, 0.299562, 0.313851, 0.371971
44, 146, 0.0983833, 0.0864855, 0.0965974, 0.0859651, 0.0185729, 0.0490091, 0.00460845, 0.0110757, 0.00158473, 0.00046373, 0.0425232, 0.0553328, 0.0314436, 0.0293489, 0.0456867, 0.0176655, 0.0216451, 0.0449483, 0.0118996, 0.0615287, 0.0602116, 0.0716839, 0.0544998, 0.0945486, 0.12627, 0.0887708, 0.120814, 0.166417, 0.136967, 0.113491, 0.105379, 0.101087, 0.0739713, 0.0344248, 0.304333, 0.318797, 0.377796
45, 140, 0.0992355, 0.0874456, 0.0965129, 0.0862395, 0.0183061, 0.051016, 0.00641125, 0.0105207, 0.00304531, 0.00192876, 0.0433432, 0.0559455, 0.0326283, 0.0302993, 0.0469145, 0.0179112, 0.0209647, 0.0444984, 0.0124141, 0.0611381, 0.0590642, 0.0716156, 0.0548412, 0.0940021, 0.125321, 0.0885712, 0.120318, 0.164819, 0.135408, 0.112728, 0.104904, 0.100424, 0.0750831, 0.0344457, 0.307701, 0.322234, 0.381919
46, 132, 0.0998404, 0.0882101, 0.0964464, 0.0864613, 0.0176862, 0.0531202, 0.00864302, 0.0099898, 0.00621739, 0.00349035, 0.0441879, 0.0565197, 0.0338156, 0.0312427, 0.0480952, 0.0181631, 0.020195, 0.0438754, 0.0130098, 0.0604302, 0.0577541, 0.0712733, 0.0549918, 0.0932003, 0.124102, 0.0881993, 0.119608, 0.162736, 0.133445, 0.111156, 0.103506, 0.0988879, 0.0755485, 0.034264, 0.309528, 0.324048, 0.384188
47, 121, 0.100227, 0.0887655, 0.096416, 0.0866063, 0.017308, 0.0545812, 0.0101258, 0.00971225, 0.00781985, 0.00434067, 0.0451189, 0.0571216, 0.0350412, 0.0322273, 0.0492722, 0.0184535, 0.0193543, 0.043125, 0.0136066, 0.0593868, 0.0563202, 0.0707093, 0.0549545, 0.0921453, 0.122596, 0.0876349, 0.11866, 0.160301, 0.131181, 0.108809, 0.101213, 0.0964735, 0.0753194, 0.0338848, 0.309723, 0.324158, 0.3845
48, 99, 0.100408, 0.0890888, 0.0962791, 0.0865689, 0.0173097, 0.0549502, 0.0105981, 0.00964287, 0.00789407, 0.00445985, 0.0461463, 0.0577566, 0.036283, 0.033241, 0.050433, 0.0187886, 0.0184598, 0.0423098, 0.0141092, 0.0581, 0.0548088, 0.0700197, 0.0547623, 0.0908652, 0.120778, 0.0868697, 0.117429, 0.157637, 0.128716, 0.105751, 0.0980786, 0.093225, 0.0743951, 0.033338, 0.308245, 0.322535, 0.382809
49, 107, 0.100381, 0.0891395, 0.0957797, 0.0861916, 0.017534, 0.0541666, 0.0102067, 0.00971962, 0.00682432, 0.0040139, 0.0472394, 0.0583834, 0.0374854, 0.0342289, 0.0515368, 0.0191617, 0.0175279, 0.0414765, 0.0144494, 0.0567231, 0.053256, 0.0692805, 0.0544406, 0.0893911, 0.118633, 0.0859076, 0.115878, 0.154835, 0.126135, 0.102066, 0.094183, 0.0892291, 0.0728285, 0.03268, 0.305097, 0.319183, 0.379104
50, 106, 0.100131, 0.0888628, 0.0946955, 0.0853439, 0.0177258, 0.0524683, 0.00924532, 0.00993268, 0.00509799, 0.00321943, 0.0483523, 0.0589367, 0.0385804, 0.0351153, 0.0525289, 0.0195624, 0.0165641, 0.0406146, 0.014613, 0.0553592, 0.0516876, 0.0684716, 0.0539692, 0.0877266, 0.116139, 0.0847502, 0.113982, 0.151944, 0.12349, 0.0978378, 0.089614, 0.0845988, 0.0707133, 0.0319761, 0.300297, 0.314122, 0.373383
51, 91, 0.0996199, 0.0882013, 0.0929843, 0.0840009, 0.0176812, 0.0502099, 0.00796968, 0.0102699, 0.00308531, 0.0022172, 0.0494499, 0.0593497, 0.0394924, 0.0358199, 0.0533373, 0.0199778, 0.0155651, 0.03967, 0.0146369, 0.0540119, 0.0501253, 0.0675, 0.0533007, 0.0858556, 0.113285, 0.083392, 0.111739, 0.148954, 0.120788, 0.093134, 0.0844504, 0.0794492, 0.0681627, 0.0312834, 0.293867, 0.30738, 0.365647
52, 100, 0.098805, 0.0871301, 0.0908192, 0.0822686, 0.0173268, 0.047711, 0.00652087, 0.0106854, 0.00101598, 0.00105156, 0.050515, 0.0595628, 0.0401199, 0.0362519, 0.0538536, 0.0203879, 0.0145364, 0.0386069, 0.0145804, 0.0526278, 0.0485972, 0.0662957, 0.0524114, 0.0837772, 0.110104, 0.0818267, 0.109176, 0.145793, 0.117983, 0.0879942, 0.0787489, 0.0738798, 0.0652915, 0.030651, 0.285846, 0.298999, 0.355917
